,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MtCM,128.088714625785,-0.870844247526085,1.09429848984367,-0.795801379247532,0.426147489952736,0.746366502630196
35kd_ag,7787.06703473598,1.71412931316209,1.17485111907011,1.45901832609974,0.144560063783028,0.513061419356256
MTS2823,4.2138191013647,-4.65064586997558,2.77187416340072,-1.67779833997582,0.0933864735407373,NA
P55,1434.93371667533,-2.0272736775985,1.0557324556152,-1.92025324864826,0.0548259185561645,0.327856784324891
PE1,286.314979648497,0.684995056803809,1.03094787229057,0.664432291112724,0.506413671276825,0.784437103363718
PE12,878.663681996329,-1.0707518421192,1.08284209129088,-0.988834707046458,0.322744020267609,0.687766748445105
PE13,424.599192733005,-3.10461226908926,1.00455430166806,-3.09053703113315,0.00199794889310312,0.06935722542679
PE14,25.6126516197641,-0.214449851866453,1.3949755062107,-0.153730191613889,0.877822478281297,NA
PE15,127.745931677407,-1.76634419942156,1.26177950486277,-1.39988341276289,0.161548233939952,0.541079598113447
PE16,279.547932819888,1.61397239762208,1.12407357493226,1.4358245168421,0.151052281634934,0.523251311211425
PE17,600.118654219036,-0.520393782240904,1.06686617325475,-0.48777793812068,0.625707139827393,0.84953392206095
PE19,1855.12283825856,-1.26652471134173,1.00746473911386,-1.25714048558734,0.208702769276011,0.594237441583912
PE2,141.878381955338,0.809921727463331,1.05400583969339,0.768422428948723,0.442236259497054,0.758815905820645
PE20,147.9355452146,1.48794814464785,1.20681179645492,1.23295790529956,0.21759146968725,0.603409928961352
PE22,89.5463332924947,-0.39693800829408,1.09869380435837,-0.36128173902454,0.717888843304291,0.897860358580885
PE23,396.898392297457,-0.859079879065231,1.02132274148247,-0.841144375007515,0.400267058055537,0.731515620615937
PE24,68.8083536266999,2.92434402651967,1.26914155371271,2.3041905908485,0.0212119471568477,0.210903965600284
PE25,695.017924763819,-2.82378687742761,1.03840292784901,-2.71935565828662,0.00654092357700514,0.118011536308828
PE26,1295.70840080779,-1.10642758120728,1.07019100666615,-1.03385991315141,0.301201657699193,0.671467908352788
PE27,63.6472799527629,1.55432590648318,1.18136284932824,1.31570576082279,0.188272819909127,0.566113304950607
PE29,19.4375460896753,1.26136960321162,1.48085526374404,0.851784528909672,0.394333694726254,NA
PE3,189.540514645982,1.98412500249569,1.11647341855616,1.7771359080466,0.0755458814347927,0.374123177827627
PE31,420.559158127535,-1.70096893262486,1.04464360227301,-1.62827679116952,0.103466208369597,0.432910319610539
PE32,71.8712652703572,2.88737653636157,1.16637143604005,2.47552061645516,0.0133042080282268,0.170885160895891
PE33,14.4316701113995,1.55647007598362,1.6566758011661,0.939513980277888,0.347466917838063,NA
PE34,108.315052940013,1.69697305959246,1.08467774487667,1.56449513932399,0.117701333580393,0.458785737636099
PE35,574.969762238519,0.218516802929257,1.12846078776939,0.19364146747287,0.846456626343604,0.953427542983583
PE36,116.905778450183,-1.95839554222084,1.0849686985443,-1.80502492362075,0.0710707819820767,0.367657299522796
PE4,176.064528750595,2.52467351562564,1.17270660424663,2.15286032029089,0.0313296577808074,0.255991764502568
PE5,150.303370586951,1.28745072007461,1.24980338695503,1.03012260449325,0.302952455286544,0.672747329357496
PE6,55.7044085017254,4.51792797016824,1.33691393365,3.37937084538683,0.000726519346642466,0.0426014098045712
PE7,107.142861608724,1.51070951267807,1.10267777383106,1.37003714823177,0.170675305769602,0.548928686123856
PE8,71.425097015213,2.32935669459038,1.15415430644256,2.01823680038949,0.0435666052029886,0.292913016143849
PE9,71.915415608642,2.34701876710974,1.16868304106196,2.00825945499906,0.0446157279766984,0.294383500842198
PE_PGRS1,195.025366014804,1.2469368982814,1.03155027007056,1.20879896449071,0.226740089530902,0.610873928468471
PE_PGRS10,404.314159226347,2.49865462719285,1.13256352588969,2.20619379847151,0.0273704333141534,0.238665459459191
PE_PGRS11,1869.99162134556,4.54333010113371,1.0545809723547,4.3081851657054,1.64599562382658e-05,0.00332984914700118
PE_PGRS12,9.74872025740636,1.73991859640398,1.91304344195878,0.909502919924526,0.363084717215909,NA
PE_PGRS13,6.29636924259753,6.23609558399911,3.00780193637899,2.07330659262311,0.038143755553287,NA
PE_PGRS14,415.635325412424,1.03332625593176,1.06366283824853,0.971479136784801,0.331309737479076,0.692357434943669
PE_PGRS15,809.817452689734,2.10346707303182,1.10878966961137,1.89708393817295,0.0578168607147711,0.335175532281118
PE_PGRS16,395.724079730605,0.681168547807401,1.0240797431862,0.665151861795541,0.505953366355115,0.784024251349213
PE_PGRS17,42.4245452313835,2.80334777306045,1.30741422907768,2.14419249134078,0.0320174664748647,0.256918984796629
PE_PGRS18,80.8744411797129,3.25331393710768,1.2317760949344,2.64115690382912,0.00826234450449658,0.135714751069349
PE_PGRS19,11.7565312699992,2.53109987517204,1.82010752275234,1.39063206076119,0.164337029073408,NA
PE_PGRS2,18.1796200340615,1.35609086716988,1.53342521748385,0.884354092855631,0.376505096314173,NA
PE_PGRS20,77.7980877720225,1.07622947968819,1.21764546726683,0.883861114437466,0.37677119065596,0.713646825329756
PE_PGRS21,89.4717862294165,0.547722525515505,1.1176143910703,0.490081847452741,0.624075982713677,0.848596970472141
PE_PGRS22,45.8213665399999,1.46669599394348,1.22002002472232,1.2021900987054,0.229289884591916,0.610913299042585
PE_PGRS23,79.1845321158013,0.792517151017466,1.13789201762036,0.696478346578818,0.486129313196764,0.7743618902339
PE_PGRS24,60.7994005621483,0.360769164613889,1.17372900635914,0.307370068098582,0.758561708364907,0.914525963512541
PE_PGRS25,902.5221331426,1.18945631964817,1.28552836264276,0.925266492917287,0.354827303501189,0.701701245298085
PE_PGRS26,38.3788379719618,-0.703780328081661,1.2885730376825,-0.546170304282798,0.584948876710027,NA
PE_PGRS27,24.2797826738413,1.10382320059572,1.39115807584858,0.793456343861148,0.42751199470101,NA
PE_PGRS28,41.4903365956133,0.906563084841037,1.27268951179315,0.712320700721215,0.476266208178451,0.771830071042685
