,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MtCM,555.531856214292,-0.0209187718616487,0.168989325801689,-0.12378753369427,0.90148350256302,0.92628064460883
35kd_ag,4286.268572255,-3.19626318819173,0.537838484630419,-5.94279375598806,2.80204895065463e-09,6.27024538769131e-08
C8,2.55196071314684,-2.42978176467717,1.19207506143874,-2.03827916821329,0.0415220219886434,0.0826198991386979
MTS2823,9.91763196605522,-3.86779864263491,0.874795395398841,-4.42137517295856,9.80747162209752e-06,7.65240877882082e-05
P55,3728.09880651871,-0.997527708403976,0.238142866983409,-4.18877844648386,2.80460040910807e-05,0.000191991693229562
PE1,1442.25529422443,-0.25924719102021,0.150567129437538,-1.72180469926377,0.0851049030487057,0.141019091883709
PE12,1388.26589197544,-1.01204528490734,0.261719450842342,-3.86690894257222,0.000110223559911044,0.000647154168586627
PE13,3697.16257700554,-2.29998490544358,0.409868096212563,-5.6115246019314,2.00551768861986e-08,3.36189961654156e-07
PE14,379.287793344614,0.417034129578363,0.263609769773344,1.58201317780041,0.113646562203666,0.175712035777399
PE15,219.762400654164,0.0651569662741667,0.414152708729965,0.157325944997381,0.874987973716804,0.90513365619549
PE16,1444.71359618912,0.138005026380181,0.118838574700963,1.16128139981018,0.245527481119692,0.323550658453283
PE17,1156.43004281894,-1.35246204352152,0.299782962718576,-4.51147066950283,6.43796867065198e-06,5.26581437475397e-05
PE18,90.2634498023199,-0.829598978180587,1.86546905300035,-0.444713342655721,0.65652692573767,0.722301422935878
PE19,5591.80308809522,-2.54570690204323,0.42582699945258,-5.97826559921249,2.25525823319758e-09,5.19366264965502e-08
PE2,925.714914030643,0.155956128419085,0.0873444107270589,1.78553071823256,0.0741752733181173,0.126623784318513
PE20,876.296309779167,-0.292867476774203,0.182518747077008,-1.60458846811301,0.108584400928791,0.169560368007303
PE22,450.686638328104,-0.516127508449105,0.357288456173998,-1.44456810605085,0.148579236767613,0.216214693013974
PE23,1072.44870473083,0.0598769932734628,0.0831609593461004,0.720013257955165,0.471516832641045,0.549196134065583
PE24,709.304270299846,0.575401554554225,0.286129338151141,2.01098411743532,0.0443271343541332,0.0865382408954765
PE25,1125.90039932084,-2.56232633287037,0.485754040658876,-5.27494599817396,1.3279518546158e-07,1.69349559094015e-06
PE26,1786.13039509824,-1.62919074494657,0.351767434657087,-4.63144277847878,3.6312636187199e-06,3.16667547926603e-05
PE27,526.776627523125,0.282407009438485,0.191022956117336,1.47839304332102,0.139302606357587,0.205933992559823
PE29,522.970520639217,0.678633496927351,0.333143546654786,2.03706031151362,0.041643998491301,0.082799299598798
PE3,1591.25931332484,0.393935905246444,0.147036052457912,2.67917900855782,0.00738029267740195,0.0226469006866719
PE31,943.692995010673,-1.47417416728685,0.364512891040267,-4.0442305430674,5.24952442992278e-05,0.000333830347125384
PE32,495.483010095933,0.0606957190918005,0.167213184379645,0.362984051269518,0.716616798234418,0.771941437516821
PE33,150.46576474313,0.309753084116191,0.222191679776788,1.39408048234464,0.163293302311093,0.231657723135115
PE34,649.424085788232,0.734455415246172,0.21600685282724,3.4001486787717,0.000673492214286118,0.00314163919820388
PE35,789.574044094485,-1.51843582595789,0.380210463386334,-3.99367185330456,6.50578859350901e-05,0.000405032297737621
PE36,351.161633946407,-0.0834663979108052,0.0736796514229546,-1.13282834946748,0.257286343794553,0.336151587706241
PE4,1296.84953808506,0.471009075373871,0.174909031342233,2.69288024614509,0.00708377076471554,0.0220756665566558
PE5,36.7198745250879,-1.91576596273397,0.381755412314943,-5.01830727458943,5.21287525162835e-07,5.73779122824244e-06
PE6,615.148371857557,0.555555908767669,0.304304592707296,1.82565732519866,0.067901895069311,0.118865900446056
PE7,236.594456923934,0.15174390705799,0.0951895570883093,1.59412347004845,0.11090838310492,0.172564568530581
PE8,701.701548226965,0.127652236855364,0.123812380552421,1.03101350838915,0.302534485164908,0.383237275733598
PE9,728.465494431864,0.527681978131953,0.244334142496523,2.15967352225226,0.0307979523353899,0.0663877430670158
PE_PGRS1,1110.08060753534,0.48326772835858,0.238884229086532,2.02302064982081,0.0430710185658081,0.0847320528480955
PE_PGRS10,430.318847190709,-0.0593245113881227,0.288891960947776,-0.205351894159654,0.837297202177161,0.874727576993714
PE_PGRS11,2192.57906277981,0.276438358236952,0.149120985507808,1.85378575185501,0.0637698177028887,0.113220065562314
PE_PGRS12,67.995143155025,-0.123406516869131,0.312956044685309,-0.394325397974728,0.693340814351784,0.752163005553364
PE_PGRS13,86.5436217825562,0.0669720798554758,0.233410536852953,0.28692826278733,0.774167249377701,0.822395077849165
PE_PGRS14,1380.96134269501,0.101914335006225,0.123113484191677,0.827808064042389,0.407779207077042,0.487035387304503
PE_PGRS15,953.108109896951,-1.15226227658997,0.258921967035009,-4.45022988889224,8.57784185604704e-06,6.82773183977973e-05
PE_PGRS16,1242.25719487477,0.170047116465475,0.0896205114997209,1.89741292054559,0.0577734616874699,0.105292855261374
PE_PGRS17,667.418232942655,0.74540567787919,0.327219965533473,2.27799571051216,0.0227268331679514,0.0531375537450772
PE_PGRS18,779.183649385224,0.588997412884415,0.201526802189113,2.92267532897038,0.00347038175233849,0.0122314197868453
PE_PGRS19,194.620752669519,0.145189667009413,0.329812496745301,0.44021881657667,0.659778632720961,0.724528644873293
PE_PGRS2,114.85220201393,-0.0414115737344195,0.249952386375509,-0.165677849029238,0.868410479030953,0.899127760004961
PE_PGRS20,728.821411168994,0.358669515741564,0.16543447100369,2.16804583449578,0.0301551993909364,0.0653224958495902
PE_PGRS21,562.645859438114,0.206272633184285,0.198797338586299,1.03760258890358,0.29945511213286,0.380133745394042
PE_PGRS22,563.683581766711,0.497966964878113,0.229852546654654,2.16646268281853,0.0302758484983903,0.0655240078815528
